Department family	http://userannotation/na	Entity	http://userannotation/na	Date	http://userannotation/na	Expense Type	http://userannotation/na	Expense area	http://userannotation/na	Supplier	http://userannotation/na	Transaction number	http://userannotation/na	AP Amount (ﾣ)	http://userannotation/na	Purchase invoice number	http://userannotation/na		
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	C&M-PMS LES CCGLcltyExec&ClinLeads	http://userannotation/na	LOCAL ENHANCED SERVICES	http://userannotation/na	BARRETT CHATTERJEE DAY & PARTNERS	http://userannotation/na	2542417	http://userannotation/number	14666	54	http://userannotation/number	DE000006945	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623426	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	C&M-PMS LES Basket of Procedures	http://userannotation/na	LOCAL ENHANCED SERVICES	http://userannotation/na	BARRETT CHATTERJEE DAY & PARTNERS	http://userannotation/na	2542417	http://userannotation/number	22151	6	http://userannotation/number	DE000006945	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623427	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Commercial Sector	http://userannotation/na	PLANNED CARE	http://userannotation/na	CARE UK CLINICAL SERVICES LTD	http://en.wikipedia.org/wiki/Care_UK	2530928	http://userannotation/number	96761	51	http://userannotation/number	120029137	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623428	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Commercial Sector	http://userannotation/na	PLANNED CARE	http://userannotation/na	CARE UK CLINICAL SERVICES LTD	http://en.wikipedia.org/wiki/Care_UK	2530950	http://userannotation/number	46380	30	http://userannotation/number	120028722	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623429	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Clinical&Medical-Commercial Sector	http://userannotation/na	PLANNED CARE	http://userannotation/na	CARE UK CLINICAL SERVICES LTD	http://en.wikipedia.org/wiki/Care_UK	2530961	http://userannotation/number	84146	60	http://userannotation/number	120029161	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623430	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec Fdtn Trust-Over/ Under Performance	http://en.wikipedia.org/wiki/NHS_trust	ACUTE COMMISSIONING	http://userannotation/na	CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST	http://en.wikipedia.org/wiki/Chesterfield_Royal_Hospital_NHS_Foundation_Trust	2530906	http://userannotation/number	111605	32	http://userannotation/number	4517599	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623431	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec Fdtn Trust-Contract Baseline	http://en.wikipedia.org/wiki/NHS_trust	ACUTE COMMISSIONING	http://userannotation/na	CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST	http://en.wikipedia.org/wiki/Chesterfield_Royal_Hospital_NHS_Foundation_Trust	2654950	http://userannotation/number	3128950	0	http://userannotation/number	4517757	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623432	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec Fdtn Trust-Over/ Under Performance	http://en.wikipedia.org/wiki/NHS_trust	ACUTE COMMISSIONING	http://userannotation/na	DERBY HOSPITALS NHS FOUNDATION TRUST	http://en.wikipedia.org/wiki/Derby_Hospitals_NHS_Foundation_Trust	2654948	http://userannotation/number	234762	0	http://userannotation/number	316144	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623433	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust-Contract Baseline	http://en.wikipedia.org/wiki/NHS_trust	ACUTE COMMISSIONING	http://userannotation/na	DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST	http://en.wikipedia.org/wiki/List_of_NHS_trusts	2484532	http://userannotation/number	3596	0	http://userannotation/number	11867740	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623434	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust-Contract Baseline	http://en.wikipedia.org/wiki/NHS_trust	COMMUNITY SERVICES	http://userannotation/na	DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST	http://en.wikipedia.org/wiki/List_of_NHS_trusts	2484532	http://userannotation/number	34058	0	http://userannotation/number	11867740	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623435	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust-Contract Baseline	http://en.wikipedia.org/wiki/NHS_trust	MENTAL HEALTH SERVICES - OLDER PEOPLE	http://userannotation/na	DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST	http://en.wikipedia.org/wiki/List_of_NHS_trusts	2484532	http://userannotation/number	4060	0	http://userannotation/number	11867740	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623436	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust-Over/ Under Performance	http://en.wikipedia.org/wiki/NHS_trust	ACUTE COMMISSIONING	http://userannotation/na	DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST	http://en.wikipedia.org/wiki/List_of_NHS_trusts	2484540	http://userannotation/number	12608	0	http://userannotation/number	11867759	http://userannotation/number	
Department of Health	http://en.wikipedia.org/wiki/Department_of_Health_%28United_Kingdom%29?oldid=548623437	NHS Hardwick CCG	http://dbpedia.org/page/NHS_trust	28.02.2014	http://userannotation/number	Hcare Srv Rec NHS Trust-Over/ Under Performance	http://en.wikipedia.org/wiki/NHS_trust	MENTAL HEALTH SERVICES - OLDER PEOPLE	http://userannotation/na	DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST	http://en.wikipedia.org/wiki/List_of_NHS_trusts	2484540	http://userannotation/number	111815	0	http://userannotation/number	11867759	http://userannotation/number	
