Department	http://userannotation/na	Entity	http://userannotation/na	Date	http://dbpedia.org/page/Category:Dates	Expense Type	Expense Area	http://userannotation/na	Supplier	http://userannotation/na	Transaction Number	http://userannotation/na	Amount	http://userannotation/na
Home Office	http://dbpedia.org/page/Home_Office	Home Office	http://dbpedia.org/page/Home_Office	04.08.2011	http://userannotation/number	Building	Performance & Finance Directorate	http://userannotation/na	AMEY COMMUNITY	http://dbpedia.org/page/Amey_plc		http://userannotation/na	253439	http://userannotation/number
Home Office		Home Office		04.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate	http://userannotation/na	AMEY COMMUNITY		1001142060	http://userannotation/number
Home Office		Home Office		05.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001142435	
Home Office		Home Office		05.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001142435	
Home Office		Home Office		04.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001142060	
Home Office		Home Office		17.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001146484	
Home Office		Home Office		05.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001142435	
Home Office		Home Office		04.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001142060	
Home Office		Home Office		04.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001142060	
Home Office		Home Office		04.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001142060	
Home Office		Home Office		25.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001149479	
Home Office		Home Office		25.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001149479	
Home Office		Home Office		25.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001149479	
Home Office		Home Office		25.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001149479	
Home Office		Home Office		17.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		AMEY COMMUNITY		1001146485	
Home Office		Home Office		23.08.2011		Building & Construction	Performance & Finance Directorate		ANNES GATE PROPERTY PLC		1001148489		3256471	
Home Office		Home Office		16.08.2011		Professional & Admin Services.Facilities Man Serv - PROG	Performance & Finance Directorate		ATKINS LTD	http://dbpedia.org/page/Atkins_(company)	1001145836		44258	
Home Office		Home Office		16.08.2011		Professional & Admin Services.Consultant - Imp & Del - PROG	Performance & Finance Directorate		ATKINS LTD		1001145836		28153	
Home Office		Home Office		25.08.2011		Professional & Admin Services.Consultant - Imp & Del - PROG	Performance & Finance Directorate		ATKINS LTD		1001149486		26912	
Home Office		Home Office		17.08.2011		Professional & Admin Services.Facilities Man Serv - ADMN	Performance & Finance Directorate		ATKINS LTD		1001146491		163824	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		ATOS ORIGIN IT SERVICES UK LIMITED	http://dbpedia.org/page/Atos	1001147943		191667	
Home Office		Home Office		19.08.2011		IT	Performance & Finance Directorate		ATOS ORIGIN IT SERVICES UK LIMITED		1001147447		23019	
Home Office		Home Office		26.08.2011		IT	Performance & Finance Directorate		ATOS ORIGIN IT SERVICES UK LIMITED		1001149968		21520	
Home Office		Home Office		26.08.2011		IT	Performance & Finance Directorate		ATOS ORIGIN IT SERVICES UK LIMITED		1001149968		21520	
Home Office		Home Office		26.08.2011		IT	Performance & Finance Directorate		ATOS ORIGIN IT SERVICES UK LIMITED		1001149968		21520	
Home Office		Home Office		26.08.2011		IT	Performance & Finance Directorate		ATOS ORIGIN IT SERVICES UK LIMITED		1001149968		21520	
Home Office		Home Office		31.08.2011		Utilities.Pay Phone Provider Serv - PROG	Performance & Finance Directorate		BRITISH TELECOMMUNICATIONS LTD	http://dbpedia.org/page/BT_Group	1001150858		102685	
