election_id	http://userannotation/na	election_type	http://userannotation/na	election_date	http://dbpedia.org/page/Category:Dates	district_name	http://userannotation/na	division_name	http://userannotation/na	division_url	http://userannotation/na	division_openlylocal_id	http://userannotation/na	result_votes_total	http://userannotation/na	result_url	http://userannotation/na	candidate_votes	http://userannotation/na	candidate_elected	http://userannotation/na	party_name	http://dbpedia.org/page/Category:Political_parties	party_short_name		party_resource_uri	http://userannotation/na
2	http://userannotation/number	council	http://dbpedia.org/page/Council	05.05.2005	http://userannotation/number	Rugby	http://dbpedia.org/page/Borough_of_Rugby	Admirals 	http://userannotation/na	http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/05aaa15dffa8159a80256ffc002c5dcb?OpenDocument	http://userannotation/na	9836	http://userannotation/number	3102	http://userannotation/number	http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/7D96AE7A8F60BE8F80256F460052B486	http://userannotation/na	1225	http://userannotation/number	0	http://userannotation/number	Conservative	http://dbpedia.org/page/Conservative_Party_(UK)	Con	http://dbpedia.org/page/Conservative_Party_(UK)	http://openelectiondata.org/id/parties/25	http://userannotation/na
2		council		05.05.2005		Rugby		Admirals 		http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/05aaa15dffa8159a80256ffc002c5dcb?OpenDocument		9836		3102		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/7D96AE7A8F60BE8F80256F460052B486		1366		1		Labour	http://dbpedia.org/page/Labour_Party_(UK)	Lab	http://dbpedia.org/page/Labour_Party_(UK)	http://openelectiondata.org/id/parties/6	
2		council		05.05.2005		Rugby		Admirals 		http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/05aaa15dffa8159a80256ffc002c5dcb?OpenDocument		9836		3102		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/7D96AE7A8F60BE8F80256F460052B486		511		0		Liberal Democrat	http://dbpedia.org/page/Liberal_Democrats	LibDem	http://dbpedia.org/page/Liberal_Democrats	http://openelectiondata.org/id/parties/26	
2		council		05.05.2005		Stratford	http://dbpedia.org/page/Stratford-on-Avon_District	Alcester 	http://dbpedia.org/page/Alcester	http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/7583e7e75035e8b180256ffc002c5de6?OpenDocument		9837		4181		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/FE3674811722B69680256F85005270EF		592		0		Labour	http://dbpedia.org/page/Labour_Party_(UK)	Lab	http://dbpedia.org/page/Labour_Party_(UK)	http://openelectiondata.org/id/parties/6	
2		council		05.05.2005		Stratford		Alcester 		http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/7583e7e75035e8b180256ffc002c5de6?OpenDocument		9837		4181		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/FE3674811722B69680256F85005270EF		2162		1		Liberal Democrat	http://dbpedia.org/page/Liberal_Democrats	LibDem	http://dbpedia.org/page/Liberal_Democrats	http://openelectiondata.org/id/parties/26	
2		council		05.05.2005		Stratford		Alcester 		http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/7583e7e75035e8b180256ffc002c5de6?OpenDocument		9837		4181		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/FE3674811722B69680256F85005270EF		1427		0		Conservative	http://dbpedia.org/page/Conservative_Party_(UK)	Con	http://dbpedia.org/page/Conservative_Party_(UK)	http://openelectiondata.org/id/parties/25	
2		council		05.05.2005		Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Arbury & Stockingford 	http://userannotation/na	http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/760437f7e47d3eee80256ffc002c5ddf?OpenDocument		9838		14771		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E		2433		0		Conservative		Con		http://openelectiondata.org/id/parties/25	
2		council		05.05.2005		Nuneaton and Bedworth		Arbury & Stockingford 		http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/760437f7e47d3eee80256ffc002c5ddf?OpenDocument		9838		14771		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E		3888		1		Labour	http://dbpedia.org/page/Labour_Party_(UK)	Lab	http://dbpedia.org/page/Labour_Party_(UK)	http://openelectiondata.org/id/parties/6	
2		council		05.05.2005		Nuneaton and Bedworth		Arbury & Stockingford 		http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/760437f7e47d3eee80256ffc002c5ddf?OpenDocument		9838		14771		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E		4240		1		Labour		Lab		http://openelectiondata.org/id/parties/6	
2		council		05.05.2005		Nuneaton and Bedworth		Arbury & Stockingford 		http://www.warwickshire.gov.uk/corporate/committe.nsf/66313d7210fd430680256a140057d7fa/760437f7e47d3eee80256ffc002c5ddf?OpenDocument		9838		14771		http://www.warwickshire.gov.uk/corporate/Elect05.nsf/ResultsByParty/EEEF2A5ADE2987ED80256F460052B47E		2578		0		Conservative	http://dbpedia.org/page/Conservative_Party_(UK)	Con	http://dbpedia.org/page/Conservative_Party_(UK)	http://openelectiondata.org/id/parties/25	
