Location	http://dbpedia.org/page/Category:Categories_by_geographical_location	Map Ref	http://userannotation/na	X Coordinate	http://userannotation/na	Y Coordinate	http://userannotation/na	Mobile	http://userannotation/na	Route	http://userannotation/na	Number	http://userannotation/na	Stop Name	http://userannotation/na	Sheltered Location	http://userannotation/na	Arrive	http://dbpedia.org/page/Category:Time	Depart	http://dbpedia.org/page/Category:Time	Stay	http://dbpedia.org/page/Category:Time	Day of the week	http://userannotation/na	Week No	http://userannotation/na		
Admington	http://dbpedia.org/page/Admington	135	http://userannotation/number	420138	http://userannotation/number	246141	http://userannotation/number	Alcester	http://dbpedia.org/page/Alcester	G	http://userannotation/na	6	http://userannotation/number	Village	http://userannotation/na	No	http://dbpedia.org/page/Yes_and_no	14:25	http://userannotation/number	14:40	http://userannotation/number	15	http://userannotation/number	Tuesday	http://dbpedia.org/page/Tuesday	3	http://userannotation/number		
Alcester	http://dbpedia.org/page/Alcester		http://userannotation/na	409102		257375		Alcester		M		6		Malt Mill Lane Sheltered Housing Scheme		Yes		16:00		16:30		30		Tuesday		3			
Alcester				408648		257333		Alcester		K		1		Teddy Bear Corner Nursery		No		09:10		09:35		25		Friday	http://dbpedia.org/page/Friday	2			
Aldermans Green	http://dbpedia.org/page/Alderman's_Green	50	http://userannotation/number	437229		284788		Bedworth	http://dbpedia.org/page/Bedworth	B		10		Toldish Hall  Farm		No		15:15		15:30		15		Tuesday	http://dbpedia.org/page/Tuesday	1			
Aldermans Green		50		436594		284107		Bedworth		B		11		Parrotts Grove		No		15:35		15:50		15		Tuesday		1			
Alderminster	http://dbpedia.org/page/Alderminster	130		423090		248457		Alcester	http://dbpedia.org/page/Alcester	D		3		Old Road		No		10:10		10:35		25		Thursday	http://dbpedia.org/page/Thursday	1			
Alveston	http://dbpedia.org/page/Alveston,_Warwickshire	121		423561		256515		Alcester		M		3		Ferry Inn		No		12:20		12:40		20		Tuesday	http://dbpedia.org/page/Tuesday	3			
Ansley	http://dbpedia.org/page/Ansley,_Warwickshire		http://userannotation/na	430246		294147		Atherstone	http://dbpedia.org/page/Atherstone	F		7		Pipers Lane		No		14:20		14:35		15		Monday	http://dbpedia.org/page/Monday	2			
Ansley		26	http://userannotation/number	429839		291638		Atherstone		M		3		Ludford Close		No		13:15		13:45		30		Tuesday	http://dbpedia.org/page/Tuesday	3			
Ansley		27		430156		291441		Atherstone		M		4		Croft Mead		No		13:50		14:30		40		Tuesday		3			
Ansley		27		430207		291248		Atherstone		M		5		Birmingham Road		No		14:35		14:55		20		Tuesday		3			
Ansty	http://dbpedia.org/page/Ansty,_Warwickshire	51		439683		283408		Bedworth	http://dbpedia.org/page/Bedworth	B		9		Grove Road		No		14:45		15:05		20		Tuesday		1			
Ardens Grafton	http://dbpedia.org/page/Ardens_Grafton	119		411601		254386		Alcester	http://dbpedia.org/page/Alcester	J		7		T Junction		No		12:10		12:30		20		Thursday	http://dbpedia.org/page/Thursday	2			
Arley	http://dbpedia.org/page/Arley,_Warwickshire		http://userannotation/na	428289		290489		Atherstone	http://dbpedia.org/page/Atherstone	F		3		Meadow Croft		Yes		11:10		11:50		40		Monday	http://dbpedia.org/page/Monday	2			
Arley				428492		290834		Atherstone		F		4		Roland Court		Yes		11:55		12:15		20		Monday		2			
Armscote	http://dbpedia.org/page/Armscote	136	http://userannotation/number	423564		244424		Alcester	http://dbpedia.org/page/Alcester	D		9		Crab Tree Farm		No		14:40		14:55		15		Thursday	http://dbpedia.org/page/Thursday	1			
Armscote		136		424280		244714		Alcester		D		10		Village Phone Box		No		15:00		15:15		15		Thursday		1			
Armscote		136		425305		245012		Alcester		D		11		Fair Havens Bungalow		No		15:20		15:35		15		Thursday		1			
Ascott	http://dbpedia.org/page/Ascott,_Warwickshire	142		432319		234743		Alcester		K		6		Opp. Post Box		No		13:55		14:15		20		Friday	http://dbpedia.org/page/Friday	2			
Ash Green	http://dbpedia.org/page/Ash_Green,_Warwickshire	37		433462		284834		Atherstone	http://dbpedia.org/page/Atherstone	C		11		Ash Green School - Ash Green Lane	http://dbpedia.org/page/Ash_Green_School	No		15:50		16:30		40		Wednesday	http://dbpedia.org/page/Wednesday	1			
Ashorne	http://dbpedia.org/page/Ashorne	122		430454		257751		Southam	http://dbpedia.org/page/Southam	B		7		Phone Box	http://userannotation/na	No		14:20		14:40		20		Tuesday	http://dbpedia.org/page/Tuesday	1			
Aspley Heath	http://dbpedia.org/page/Aspley_Heath	87		409490		270523		Alcester	http://dbpedia.org/page/Alcester	H		3		Murmel - Blind Lane		No		09:40		09:55		15		Wednesday	http://dbpedia.org/page/Wednesday	2			
Aspley Heath		87		409700		270415		Alcester		H		2		Ferndale - Blind Lane		No		09:20		09:35		15		Wednesday		2			
Aspley Heath		87		409870		270547		Alcester		H		4		Aspley Heath Lane		No		10:00		10:15		15		Wednesday		2			
Aspley Heath		87		409757		270887		Alcester		H		5		Langland - Broad Lane		No		10:20		10:35		15		Wednesday		2			
Astley	http://dbpedia.org/page/Astley,_Warwickshire	37		431128		289279		Atherstone	http://dbpedia.org/page/Atherstone	C		10		Castle Drive		No		14:55		15:15		20		Wednesday		1			
Aston Cantlow	http://dbpedia.org/page/Aston_Cantlow	119		413872		259970		Alcester	http://dbpedia.org/page/Alcester	F		8		Guild Road		No		15:25		15:45		20		Monday	http://dbpedia.org/page/Monday	2			
Atherstone	http://dbpedia.org/page/Atherstone		http://userannotation/na	431173		297630		Atherstone	http://dbpedia.org/page/Atherstone	D		4		Regal Court		Yes		15:00		15:40		40		Thursday	http://dbpedia.org/page/Thursday	1			
Attleborough	http://dbpedia.org/page/Attleborough,_Warwickshire			437159		290838		Atherstone		P		3		James Diskin Court		Yes		11:20		12:10		50		Friday	http://dbpedia.org/page/Friday	3			
Attleborough				437169		290931		Atherstone		P		4		Ramsden Resource Centre		Yes		12:15		12:45		30		Friday		3			
Austrey	http://dbpedia.org/page/Austrey	3	http://userannotation/number	428517		307138		Atherstone		H		3		Newton Regis Lane		No		10:35		10:50		15		Wednesday	http://dbpedia.org/page/Wednesday	2			
Austrey		3		429441		306656		Atherstone		H		4		Layby Main Road		No		11:05		11:35		30		Wednesday		2			
Austrey		3		429657		306275		Atherstone		H		5		Bird in Hand		No		11:40		12:00		20		Wednesday		2			
Avon Dassett	http://dbpedia.org/page/Avon_Dassett	133		441032		250009		Southam	http://dbpedia.org/page/Southam	K		4		RC Church		No		11:20		11:40		20		Friday	http://dbpedia.org/page/Friday	2			
Avon Dassett		133		441219		250700		Southam		K		5		Paxhill		No		11:50		12:05		15		Friday		2			
Baddesley Clinton	http://dbpedia.org/page/Baddesley_Clinton	90		420811		272456		Kenilworth	http://dbpedia.org/page/Kenilworth	J		3		Rising Lane Lay-by		No		10:30		10:45		15		Thursday	http://dbpedia.org/page/Thursday	2			
Baginton	http://dbpedia.org/page/Baginton	77		434487		273680		Bedworth	http://dbpedia.org/page/Bedworth	E		4		Stoneleigh Road		No		11:25		11:45		20		Friday	http://dbpedia.org/page/Friday	1			
Baginton		77		434684		274583		Bedworth		E		5		The Old School		No		11:50		12:05		15		Friday		1			
Baginton		77		434379		275044		Bedworth		E		6		Holly Walk		No		13:30		14:00		30		Friday		1			
Baginton		77		434622		275050		Bedworth		E		7		Rowley Road		No		14:05		14:20		15		Friday		1			
Barford	http://dbpedia.org/page/Barford,_Warwickshire	122		426814		260743		Kenilworth	http://dbpedia.org/page/Kenilworth	E		2		Mill Lane		No		10:20		10:35		15		Friday		1			
Barford		122		427042		260879		Kenilworth		E		1		Beehive Nursery		No		09:30		10:15		45		Friday		1			
Barford		122		427094		260293		Kenilworth		E		5		Sandy Way		No		13:30		13:50		20		Friday		1			
Barton		129		410809		251214		Alcester	http://dbpedia.org/page/Alcester	J		9		The Malt House		No		14:00		14:15		15		Thursday	http://dbpedia.org/page/Thursday	2			
Barton-on-the-Heath	http://dbpedia.org/page/Barton-on-the-Heath	140		425726		232670		Alcester		B		2		Village Green		No		10:15		10:35		20		Tuesday	http://dbpedia.org/page/Tuesday	1			
Baxterley	http://dbpedia.org/page/Baxterley		http://userannotation/na	427364		297168		Atherstone	http://dbpedia.org/page/Atherstone	H		9		The Orchard		No		14:30		15:00		30		Wednesday	http://dbpedia.org/page/Wednesday	2			
Bearley	http://dbpedia.org/page/Bearley	120	http://userannotation/number	417824		260732		Kenilworth	http://dbpedia.org/page/Kenilworth	G		3		Post Office		No		10:35		10:50		15		Tuesday	http://dbpedia.org/page/Tuesday	2			
Bearley		120		418123		260934		Kenilworth		G		2		Grange Road		No		10:00		10:20		20		Tuesday		2			
Bearley		120		418237		260590		Kenilworth		G		4		Bearley Green		No		11:00		11:20		20		Tuesday		2			
Beausale	http://dbpedia.org/page/Beausale	91		424087		270822		Kenilworth		J		1		Crossroads		No		09:30		09:45		15		Thursday	http://dbpedia.org/page/Thursday	2			
Bedworth	http://dbpedia.org/page/Bedworth	37		436536		287566		Bedworth	http://dbpedia.org/page/Bedworth	L		3		Pine Tree Road, Furnace Fields		No		11:00		11:20		20		Monday	http://dbpedia.org/page/Monday	3			
Bedworth			http://userannotation/na	433796		286364		Bedworth		N		3		Arthur Alford House		Yes		11:50		12:50		60		Wednesday	http://dbpedia.org/page/Wednesday	3			
Bedworth				434940		286840		Bedworth		L		5		Croft Pool		Yes		12:30		12:45		15		Monday	http://dbpedia.org/page/Monday	3			
Bedworth				436879		286651		Bedworth		L		1		Poplar House		Yes		09:00		09:45		45		Monday		3			
Bedworth				433205		285735		Bedworth		L		6		Richmond Bede Village		Yes		14:20		15:30		70		Monday		3			
Bedworth				436006		287241		Bedworth		L		4		The Grove		Yes		11:30		12:15		45		Monday		3			
Bedworth				436673		286775		Bedworth		L		2		York Avenue		Yes		10:10		10:50		40		Monday		3			
Bedworth				436692		286502		Bedworth		N		4		Poets Corner, Drayton Road		Yes		14:20		14:40		20		Wednesday	http://dbpedia.org/page/Wednesday	3			
Bilton	http://dbpedia.org/page/Bilton,_Warwickshire			449200		275200		Bedworth		D		1		Dryden Walk/Dryden Place/Eliot Court		Yes		10:50		11:25		35		Thursday	http://dbpedia.org/page/Thursday	1			
Binton	http://dbpedia.org/page/Binton	120	http://userannotation/number	414404		254144		Alcester	http://dbpedia.org/page/Alcester	J		10		Village Hall		No		14:35		14:55		20		Thursday		2			
Birchley Heath	http://userannotation/na	17		428710		294438		Atherstone	http://dbpedia.org/page/Atherstone	F		9		The Laurels		No		15:00		15:20		20		Monday	http://dbpedia.org/page/Monday	2			
Birdingbury	http://dbpedia.org/page/Birdingbury	97		443172		268338		Southam	http://dbpedia.org/page/Southam	D		12		Memorial		No		14:35		14:55		20		Thursday	http://dbpedia.org/page/Thursday	1			
Bishop's Itchington	http://dbpedia.org/page/Bishop's_Itchington	124		438668		257272		Southam		P		1		Dodge Hill Cottages		No		09:40		09:55		15		Friday	http://dbpedia.org/page/Friday	3			
Bishop's Itchington		124		438756		257662		Southam		P		2		Manor Road		No		10:00		10:15		15		Friday		3			
Bishop's Itchington		124		439236		257937		Southam		P		3		Central Drive		No		10:25		10:45		20		Friday		3			
Bishop's Itchington		124		438920		257532		Southam		P		5		Starbold Road		No		11:35		11:55		20		Friday		3			
Bishop's Itchington		124		439325		257717		Southam		P		4		Ellestree Cottages		No		11:10		11:30		20		Friday		3			
Bishop's Itchington		124		439029		257832		Southam		P		6		Butchers Arms		No		12:00		12:15		15		Friday		3			
Bishop's Itchington		124		438832		257339		Southam		M		11		Scowcroft Drive		No		15:45		16:00		15		Tuesday	http://dbpedia.org/page/Tuesday	3			
Bishops Tachbrook	http://dbpedia.org/page/Bishop's_Tachbrook	122		430815		261301		Southam		B		2		St Chad's Close		No		10:45		11:10		25		Tuesday		1			
Bishops Tachbrook		122		431306		261394		Southam		B		3		Church Lees		No		11:15		11:35		20		Tuesday		1			
Blackwell	http://userannotation/na	136		424021		243437		Alcester	http://dbpedia.org/page/Alcester	D		8		Ilmington Road		No		14:20		14:35		15		Thursday	http://dbpedia.org/page/Thursday	1			
Bourton on Dunsmore	http://dbpedia.org/page/Bourton-on-Dunsmore	97		443670		270478		Southam	http://dbpedia.org/page/Southam	D		9		Bourton Hall		No		12:45		13:15		30		Thursday		1			
Brandon	http://dbpedia.org/page/Brandon,_Warwickshire	79		436710		275604		Bedworth	http://dbpedia.org/page/Bedworth	H		1		Grange Bungalow		No		09:15		09:30		15		Wednesday	http://dbpedia.org/page/Wednesday	2			
Brinklow	http://dbpedia.org/page/Brinklow	64		441809		281245		Bedworth		J		1		Coombe View Farm		No		09:30		09:45		15		Thursday	http://dbpedia.org/page/Thursday	2			
Brinklow		64		443187		279214		Bedworth		J		3		The British Legion, Heath Lane		No		11:50		12:35		45		Thursday		2			
Brinklow		64		443031		279425		Bedworth		J		4		Great Balance		No		14:10		14:30		20		Thursday		2			
Brinklow			http://userannotation/na	443506		279339		Bedworth		J		5		Broad Street, The Raven 		No		14:35		14:55		20		Thursday		2			
Brinklow				443533		279386		Bedworth		J		6		Broad Street, The White Lion		No		14:55		15:15		20		Thursday		2			
Broadwell	http://dbpedia.org/page/Broadwell,_Warwickshire	115	http://userannotation/number	445407		265801		Southam	http://dbpedia.org/page/Southam	H		3		The Row		No		10:55		11:15		20		Wednesday	http://dbpedia.org/page/Wednesday	2			
Broom	http://dbpedia.org/page/Broom,_Warwickshire	128		409164		253069		Alcester	http://dbpedia.org/page/Alcester	C		9		Broom Inn - Bidford Road		No		15:05		15:25		20		Wednesday		1			
Bubbenhall	http://dbpedia.org/page/Bubbenhall	95		435321		272379		Bedworth	http://dbpedia.org/page/Bedworth	E		2		Ellesmere Stoneleigh Rd		No		10:05		10:25		20		Friday	http://dbpedia.org/page/Friday	1			
Bubbenhall		95		436235		272619		Bedworth		E		3		Lower End		No		10:30		11:00		30		Friday		1			
Bubbenhall		95		436324		272210		Bedworth		H		11		Inside Out Day Nursery, Leicester Lane		No		15:15		15:45		30		Wednesday	http://dbpedia.org/page/Wednesday	2			
Burmington	http://dbpedia.org/page/Burmington	141		426494		237929		Alcester	http://dbpedia.org/page/Alcester	K		8		Old Corn Store		No		15:10		15:30		20		Friday	http://dbpedia.org/page/Friday	2			
Burton Dassett	http://dbpedia.org/page/Burton_Dassett	133		439769		251780		Southam	http://dbpedia.org/page/Southam	M		6		Church Junction		No		13:35		13:55		20		Tuesday	http://dbpedia.org/page/Tuesday	3			
Burton Hastings	http://dbpedia.org/page/Burton_Hastings	41		441162		289978		Bedworth	http://dbpedia.org/page/Bedworth	B		1		Doran - Main Street		No		09:30		09:50		20		Tuesday		1			
Butlers Marston	http://dbpedia.org/page/Butlers_Marston	131		431847		250068		Southam	http://dbpedia.org/page/Southam	M		1		Bank Close		No		10:00		10:20		20		Tuesday		3			
Camp Hill	http://userannotation/na		http://userannotation/na	433366		293191		Atherstone	http://dbpedia.org/page/Atherstone	M		1		Craddock Court		Yes		09:45		10:45		60		Tuesday		3			
Camp Hill				434506		292639		Atherstone		D		1		Windsor Court		Yes		10:00		10:45		45		Thursday	http://dbpedia.org/page/Thursday	1			
Charlecote	http://dbpedia.org/page/Charlecote_Park	121	http://userannotation/number	425503		257065		Kenilworth	http://dbpedia.org/page/Kenilworth	E		7		Village Hall		No		14:35		15:00		25		Friday	http://dbpedia.org/page/Friday	1			
Cherington	http://dbpedia.org/page/Cherington	137		429300		236753		Alcester	http://dbpedia.org/page/Alcester	K		2		St John's Close		No		10:25		10:50		25		Friday		2			
Cherington		141		429081		236437		Alcester		K		3		Bus Shelter		No		11:10		11:30		20		Friday		2			
Chesterton	http://dbpedia.org/page/Chesterton,_Warwickshire	123		434827		258616		Southam	http://dbpedia.org/page/Southam	O		1		The Green		No		09:40		09:55		15		Thursday	http://dbpedia.org/page/Thursday	3			
Chesterton		123		435733		258207		Southam		O		2		Church		No		10:00		10:15		15		Thursday		3			
Chilvers Coton	http://userannotation/na		http://userannotation/na	435992		290825		Atherstone	http://dbpedia.org/page/Atherstone	L		1		Bridge St Flats		Yes		09:30		10:20		50		Monday	http://dbpedia.org/page/Monday	3			
Chilvers Coton				436301		290761		Atherstone		P		5		Hanover Glebe		Yes		13:50		15:10		80		Friday	http://dbpedia.org/page/Friday	3			
Chilvers Coton				436306		290500		Atherstone		P		1		Shepperton Court Sheltered Housing		Yes		09:30		10:30		60		Friday		3			
Church Lawford	http://dbpedia.org/page/Church_Lawford	81	http://userannotation/number	444106		275410		Bedworth	http://dbpedia.org/page/Bedworth	D		4		Limestone Hall		No		13:50		14:05		15		Thursday	http://dbpedia.org/page/Thursday	1			
Church Lawford		81		444953		276306		Bedworth		D		5		The Green		No		14:10		14:30		20		Thursday		1			
Churchover	http://dbpedia.org/page/Churchover	67		451482		279864		Bedworth		G		8		Coton Road Houses		No		15:00		15:15		15		Tuesday	http://dbpedia.org/page/Tuesday	2			
Churchover		67		451310		280485		Bedworth		G		7		Trusteel Houses		No		14:40		14:55		15		Tuesday		2			
Churchover		67		451136		280886		Bedworth		G		6		Church Street		No		14:00		14:30		30		Tuesday		2			
Claverdon	http://dbpedia.org/page/Claverdon	113		419743		264653		Kenilworth	http://dbpedia.org/page/Kenilworth	M		2		St Michael's Road		No		10:00		11:00		60		Tuesday		3			
Clifford Chambers	http://dbpedia.org/page/Clifford_Chambers	129		419643		252274		Alcester	http://dbpedia.org/page/Alcester	G		1		Clifford Club		No		09:25		09:50		25		Tuesday		2			
Clifton upon Dunsmore	http://dbpedia.org/page/Clifton-upon-Dunsmore	83		452211		276028		Bedworth	http://dbpedia.org/page/Bedworth	C		3		Avon Street		No		13:40		14:00		20		Wednesday	http://dbpedia.org/page/Wednesday	1			
Clifton upon Dunsmore		83		453062		276384		Bedworth		C		4		The Bull		No		14:05		14:50		45		Wednesday		1			
Coleshill	http://dbpedia.org/page/Coleshill,_Warwickshire		http://userannotation/na	419864		288517		Atherstone	http://dbpedia.org/page/Atherstone	G		3		Digby Road Centre		Yes		12:15		12:55		40		Tuesday	http://dbpedia.org/page/Tuesday	2			
Coleshill				419987		289392		Atherstone		G		1		Servite House (Coleshill)		Yes		09:20		11:10		110		Tuesday		2			
Coleshill		33	http://userannotation/number	419802		288528		Atherstone		G		2		Orchard Blythe		Yes		11:30		12:10		40		Tuesday		2			
Coleshill		24		420378		291793		Atherstone		D		3		Hams Hall Ind Est, Sainsbury's Distribution Depot	http://dbpedia.org/page/Hams_Hall	No		13:30		14:30		60		Monday	http://dbpedia.org/page/Monday	3			
Corley	http://dbpedia.org/page/Corley	47		430091		285159		Atherstone		C		4		Village Hall	http://userannotation/na	No		11:45		12:00		15		Wednesday	http://dbpedia.org/page/Wednesday	1			
Corley		47		429866		285457		Atherstone		C		5		Kingswood Avenue		No		12:05		12:25		20		Wednesday		1			
Corley Ash		48		429377		286034		Atherstone		C		6		Ash Farm		No		12:30		12:50		20		Wednesday		1			
Corley Ash		48		429679		286467		Atherstone		C		7		Jasmine Cottage		No		12:55		13:10		15		Wednesday		1			
Corley Moor		47		427958		285005		Atherstone		C		3		Bull & Butcher		No		11:25		11:40		15		Wednesday		1			
Curdworth	http://dbpedia.org/page/Curdworth	23		417779		293029		Atherstone		B		6		Charlesworth		No		12:40		12:55		15		Tuesday	http://dbpedia.org/page/Tuesday	1			
Curdworth		23		418019		292722		Atherstone		B		7		Village Hall		No		14:00		14:45		45		Tuesday		1			
Darlingscott	http://dbpedia.org/page/Darlingscott	136		423079		242114		Alcester	http://dbpedia.org/page/Alcester	O		2		Potter's Lane		No		10:15		10:35		20		Thursday	http://dbpedia.org/page/Thursday	3			
Draycote	http://dbpedia.org/page/Draycote	116		444510		269933		Southam	http://dbpedia.org/page/Southam	D		10		Telephone Box		No		13:50		14:05		15		Thursday		1			
Dunchurch	http://dbpedia.org/page/Dunchurch		http://userannotation/na	448523		271760		Bedworth	http://dbpedia.org/page/Bedworth	K		3		Edmondson Close		Yes		10:40		11:10		30		Friday	http://dbpedia.org/page/Friday	2			
Dunchurch				447575		272955		Bedworth		K		4		Lime Tree Village		Yes		11:30		12:30		60		Friday		2			
Dunnington	http://dbpedia.org/page/Dunnington,_Warwickshire	127	http://userannotation/number	406892		253674		Alcester	http://dbpedia.org/page/Alcester	J		5		Lay-by Old Post Office		No		10:40		11:00		20		Thursday	http://dbpedia.org/page/Thursday	2			
Earlswood	http://dbpedia.org/page/Earlswood,_West_Midlands	70		411650		273860		Alcester		H		10		The Common - Bungalows		No		12:45		13:10		25		Wednesday	http://dbpedia.org/page/Wednesday	2			
Earlswood		70		411088		273834		Alcester		H		11		Malthouse Lane		No		14:20		14:45		25		Wednesday		2			
Easenhall	http://dbpedia.org/page/Easenhall	65		446520		279492		Bedworth	http://dbpedia.org/page/Bedworth	G		3		The Green		No		11:35		11:55		20		Tuesday	http://dbpedia.org/page/Tuesday	2			
Easenhall			http://userannotation/na	444877		279488		Bedworth		J		2		Town Thorns		Yes		10:20		11:35		75		Thursday	http://dbpedia.org/page/Thursday	2			
Eathorpe	http://dbpedia.org/page/Eathorpe	96	http://userannotation/number	439136		269143		Southam	http://dbpedia.org/page/Southam	D		4		The Old Post Office		No		10:25		10:40		15		Thursday		1			
Edge Hill	http://dbpedia.org/page/Edge_Hill,_Warwickshire	132		437473		247480		Southam		C		8		Ratley Beeches		No		14:25		14:50		25		Wednesday	http://dbpedia.org/page/Wednesday	1			
Ettington	http://dbpedia.org/page/Ettington	131		426734		249033		Southam		G		9		Church		No		15:10		15:30		20		Tuesday	http://dbpedia.org/page/Tuesday	2			
Ettington		131		427238		248652		Southam		G		10		White Horse		No		15:35		16:00		25		Tuesday		2			
Exhall	http://dbpedia.org/page/Exhall	119		410226		255173		Alcester	http://dbpedia.org/page/Alcester	J		6		Notice Board		No		11:30		12:00		30		Thursday	http://dbpedia.org/page/Thursday	2			
Exhall			http://userannotation/na	435118		285244		Bedworth	http://dbpedia.org/page/Bedworth	N		2		John Haynes Court		Yes		11:00		11:40		40		Wednesday	http://dbpedia.org/page/Wednesday	3			
Farnborough	http://dbpedia.org/page/Farnborough,_Warwickshire	133	http://userannotation/number	443239		249578		Southam	http://dbpedia.org/page/Southam	K		6		Vicarage		No		13:30		13:45		15		Friday	http://dbpedia.org/page/Friday	2			
Farnborough		133		443606		250085		Southam		K		7		Opposite Haypool		No		13:50		14:05		15		Friday		2			
Fenny Compton	http://dbpedia.org/page/Fenny_Compton	133		442015		252615		Southam		K		1		Station Road		No		09:40		10:00		20		Friday		2			
Fenny Compton		133		441683		252266		Southam		K		2		Memorial		No		10:05		10:20		15		Friday		2			
Fenny Compton		133		441524		252095		Southam		K		3		Grants Close		No		10:25		10:45		20		Friday		2			
Fillongley	http://dbpedia.org/page/Fillongley	36		427380		288519		Atherstone	http://dbpedia.org/page/Atherstone	K		10		Mill Cottage		No		15:20		15:40		20		Friday		2			
Fillongley		36		426270		287814		Atherstone		K		8		Durham Rise		No		14:30		14:45		15		Friday		2			
Fillongley		36		428057		287261		Atherstone		K		5		The School		No		11:50		12:05		15		Friday		2			
Fillongley		37		428916		287306		Atherstone		K		7		Wood End, Sandy Lane	http://dbpedia.org/page/Wood_End,_Fillongley	No		14:00		14:20		20		Friday		2			
Fillongley		37		429328		287902		Atherstone		C		9		Wood End, The Grove		No		14:35		14:50		15		Wednesday	http://dbpedia.org/page/Wednesday	1			
Fillongley		36		424834		286703		Atherstone		K		3		Woodfields	http://userannotation/na	No		10:50		11:05		15		Friday	http://dbpedia.org/page/Friday	2			
Fillongley		36		427040		286865		Atherstone		K		4		The Summit		No		11:30		11:45		15		Friday		2			
Fillongley		36		429859		287165		Atherstone		C		8		High House Farm		No		13:15		13:30		15		Wednesday	http://dbpedia.org/page/Wednesday	1			
Fillongley			http://userannotation/na	428252		287124		Atherstone		K		6		Eastlang Rd Community Centre		No		12:10		12:50		40		Friday	http://dbpedia.org/page/Friday	2			
Fillongley		36	http://userannotation/number	426862		287997		Atherstone		K		9		Willow Close		No		14:50		15:15		25		Friday		2			
Five Ways	http://userannotation/na	90		422766		269947		Kenilworth	http://dbpedia.org/page/Kenilworth	J		10		Case Lane,Hayward Cottages/Outside Farm		No		14:45		15:10		25		Thursday	http://dbpedia.org/page/Thursday	2			
Flecknoe	http://dbpedia.org/page/Flecknoe	117		449659		264508		Southam	http://dbpedia.org/page/Southam	H		4		Station Cottages	http://dbpedia.org/page/Flecknoe_railway_station	No		11:25		11:40		15		Wednesday	http://dbpedia.org/page/Wednesday	2			
Flecknoe		117		451406		263540		Southam		H		5		Old School	http://userannotation/na	No		11:45		12:30		45		Wednesday		2			
Forshaw Heath	http://userannotation/na	87		408744		273315		Alcester	http://dbpedia.org/page/Alcester	H		8		Juggins Lane Trailer Park		No		11:50		12:20		30		Wednesday		2			
Forshaw Heath		87		409030		274020		Alcester		H		9		Wynard		No		12:25		12:35		10		Wednesday		2			
Frankton	http://dbpedia.org/page/Frankton,_Warwickshire	97		442630		270355		Southam	http://dbpedia.org/page/Southam	D		11		Old School		No		14:10		14:25		15		Thursday	http://dbpedia.org/page/Thursday	1			
Furnace End	http://dbpedia.org/page/Furnace_End	25		424803		291259		Atherstone	http://dbpedia.org/page/Atherstone	E		1		Opposite The  Bull		No		09:50		10:10		20		Friday	http://dbpedia.org/page/Friday	1			
Galley Common	http://dbpedia.org/page/Galley_Common_Village	27		431471		291879		Atherstone		M		6		Valley Road Surgery		No		15:00		15:45		45		Tuesday	http://dbpedia.org/page/Tuesday	3			
