Financial_Year	http://userannotation/na	Force_Name	http://dbpedia.org/page/Category:Law_enforcement_in_the_United_Kingdom	Offence_Group	http://dbpedia.org/page/Category:Criminology	Force_Offences	http://userannotation/na	Force_No_Crimes	http://userannotation/na
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Burglary	http://en.wikipedia.org/wiki/Burglary	13446	http://userannotation/number	523	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	18871	http://userannotation/number	970	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	7043	http://userannotation/number	112	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	3586	http://userannotation/number	2029	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	10305	http://userannotation/number	608	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Other offences	http://userannotation/na	1373	http://userannotation/number	208	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Other theft offences	http://en.wikipedia.org/wiki/Theft	32919	http://userannotation/number	2710	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Robbery	http://en.wikipedia.org/wiki/Robbery	1210	http://userannotation/number	129	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	481	http://userannotation/number	53	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	1714	http://userannotation/number	166	http://userannotation/number
2011/12	http://userannotation/number	Avon & Somerset	http://en.wikipedia.org/wiki/Avon_and_Somerset_Constabulary	Violence against the person	http://en.wikipedia.org/wiki/Violence	24719	http://userannotation/number	2332	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Burglary	http://en.wikipedia.org/wiki/Burglary	5559	http://userannotation/number	88	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	6857	http://userannotation/number	71	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	1740	http://userannotation/number	27	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	1530	http://userannotation/number	211	http://userannotation/number
