Estab	http://userannotation/na	School Name	http://dbpedia.org/page/Category:Schools	Type	http://dbpedia.org/page/Category:School_types	Phase		Education Area	http://userannotation/na	District Area	http://userannotation/na	2008_A_SchoolAction	http://userannotation/na	2008_P_SchoolActionPlus	http://userannotation/na	2008_Statemented	http://userannotation/na	2009_A_SchoolAction	http://userannotation/na	2009_P_SchoolActionPlus	http://userannotation/na	2009_Statemented	http://userannotation/na	2010_A_SchoolAction	http://userannotation/na	2010_P_SchoolActionPlus	http://userannotation/na	2010_Statemented	http://userannotation/na
3103	http://userannotation/number	Abbey C.Of E. Infant School	http://userannotation/na	Infant	http://dbpedia.org/page/Infant_school	Primary	http://dbpedia.org/page/Primary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	12,3	http://userannotation/number	2,2	http://userannotation/number	2,2	http://userannotation/number	20,4	http://userannotation/number	3,5	http://userannotation/number	1,5	http://userannotation/number	21,9	http://userannotation/number	1,1	http://userannotation/number	2,7	http://userannotation/number
2410		Abbots Farm Infant School		Infant		Primary		Eastern	http://userannotation/na	Rugby	http://dbpedia.org/page/Borough_of_Rugby	10,5		3,5		0		6,6		2,5		0,8		6,8		3,8		0	
2421		Abbots Farm Junior School	http://dbpedia.org/page/Abbots_Farm_Junior_School	Junior	http://dbpedia.org/page/Junior_school	Primary		Eastern		Rugby		11,9		4,8		1,2		8,8		5,2		0,4		8,8		8,8		0,9	
2639		Acorns Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	0		8,5		0		2,4		9,5		0		28,6		7,1		0	
5407		Alcester Grammar School	http://dbpedia.org/page/Alcester_Grammar_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Southern		Stratford on Avon		5		1,1		0,2		4,8		1,1		0,3		4,5		1,2		0,4	
4240		Alcester High School Technology College	http://dbpedia.org/page/Alcester_Academy	Secondary		Secondary		Southern		Stratford on Avon		12,3		3,1		2		15,1		2,5		1,5		14,4		4,4		1,2	
4150		Alderman Smith School And Sports College	http://dbpedia.org/page/The_Nuneaton_Academy	Secondary		Secondary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	13,6		3,2		1,2		13,7		2,8		0,8		12,1		9,2		1	
3588		All Saints C.Of E. (VA) Primary School, Leek Wootton	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	2,4		3,3		0		1,6		3,3		0,8		3,1		4,7		0,8	
3301		All Saints C.Of E. Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	8,7		22,8		3,1		22,2		25,6		3,4		26		21,3		2,4	
3154		All Saints C.Of E. Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	10,8		8,4		1,5		14,2		4,9		4,4		11,3		12,4		1,1	
